Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,TOTAL 2001-2013
Greece,7835,3319,1543,4254,2618,4501,30215,14721,4375,4609,3880,7774,1680,91325
Grenada,31,64,66,610,44,30,64,60,88,152,38,37,14,1297
Guadeloupe,257,38,62,150,161,51,130,105,99,95,65,204,102,1520
Guatemala,42912,46535,71844,47070,81043,44283,106827,67130,77258,53078,36804,70224,42692,787701
Guernsey,1,0,0,0,0,0,0,0,0,0,1,1,0,2
Guinea,1943,2953,847,993,748,876,2256,1108,1405,801,876,870,763,16438
Guinea-Bissau,44,172,23,94,67,61,85,83,184,185,95,11,26,1129
Guyana,9804,4709,7204,3961,5701,5772,5131,9298,8069,9851,8228,12597,6378,96704
Haiti,1276,1074,606,1214,1199,695,1096,1199,1433,1167,1471,2519,1277,16227
Honduras,34531,25781,26379,21733,33630,33299,35061,34745,45449,39885,45822,27508,34315,438137
Hong Kong,4,7,5,11,6,9,16,11,24,10,10,9,1,122
Hungary,6854,6970,5252,11097,9437,7196,8340,7743,9133,10293,7404,10065,5269,105053
India,45384,35967,31505,49117,41300,42891,44617,53448,49118,33746,48305,49865,34024,559288
Indonesia,692873,793880,513414,1196577,1106583,1315300,1281771,1293150,1815727,1213520,1455766,2080410,927527,15686499
Iran,203,254,157,107,62,46,50,166,94,77,115,168,15,1513
Iraq,10,4,12,1,1,2,3,2,3,5,1,2,0,45
Ireland,6713,3989,1896,5238,6455,4430,8671,5480,6301,3067,2651,4930,2951,62772
Isle of Man,8,6,0,6,4,19,18,0,25,40,10,27,10,174
Israel,55,51,8,10,57,49,10,21,25,22,610,14,4,937
Italy,7221,8502,2303,12835,7717,5950,8716,11233,11336,13470,9336,16860,9311,124790
Jamaica,1070,1365,818,3436,7086,2390,1078,1774,3078,2120,2141,2335,1012,29704
Japan,21129,23586,18069,33976,33815,36224,42715,38182,38215,33684,33953,41712,18561,413821
Jersey,4,0,0,1,0,0,0,1,1,7,3,7,0,23
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
